CONTEST_ID	CONTEST_ORDER	CANDIDATE_ORDER	TOTAL	CANDIDATE_PARTY_ID	CANDIDATE_ID	VOTE_FOR	CONTEST_TYPE	CANDIDATE_TYPE	TOTAL_PRECINCTS	PROCESSED_DONE	PROCESSED_STARTED	IS_WRITEIN_CANDIDATE	CONTEST_FULL_NAME	CANDIDATE_FULL_NAME	CONTEST_TOTAL	undervote	overvote	IS_WINNER	cf_cand_class	IS_PRECINCT_LEVEL	PRECINCT_NAME
23	17	1	68679	1	404	1	0	0	34	34	34	0	State Senator Dst 12	REP - PETERSEN, WARREN	105730	11109	274	1	winner	0	
23	17	2	36868	2	405	1	0	0	34	34	34	0	State Senator Dst 12	DEM - BROWN, ELIZABETH	105730	11109	274	0	candidate	0	
23	17	3	183	0	17	1	0	3	34	34	34	1	State Senator Dst 12	Write-In Candidate	105730	11109	274	0	candidate	0	
24	18	1	66580	1	406	2	0	0	34	34	34	0	State Rep Dst 12 (vote for 2)	REP - FARNSWORTH, EDDIE	133409	100687	130	1	winner	0	
24	18	2	65519	1	407	2	0	0	34	34	34	0	State Rep Dst 12 (vote for 2)	REP - GRANTHAM, TRAVIS	133409	100687	130	1	winner	0	
24	18	3	1310	0	18	2	0	3	34	34	34	1	State Rep Dst 12 (vote for 2)	Write-In Candidate	133409	100687	130	0	candidate	0	
25	19	1	43236	1	408	1	0	0	29	29	29	0	State Senator Dst 13	REP - MONTENEGRO, STEVE	44317	17001	70	1	winner	0	
25	19	2	1081	0	20	1	0	3	29	29	29	1	State Senator Dst 13	Write-In Candidate	44317	17001	70	0	candidate	0	
26	20	1	31321	1	409	2	0	0	29	29	29	0	State Rep Dst 13 (vote for 2)	REP - MITCHELL, DARIN	84385	38247	144	1	winner	0	
26	20	2	32740	1	410	2	0	0	29	29	29	0	State Rep Dst 13 (vote for 2)	REP - SHOOTER, DON	84385	38247	144	1	winner	0	
26	20	3	19985	2	411	2	0	0	29	29	29	0	State Rep Dst 13 (vote for 2)	DEM - GRAVES, IISHA	84385	38247	144	0	candidate	0	
26	20	4	339	0	21	2	0	3	29	29	29	1	State Rep Dst 13 (vote for 2)	Write-In Candidate	84385	38247	144	0	candidate	0	
27	21	1	62691	1	412	1	0	0	42	42	42	0	State Senator Dst 15	REP - BARTO, NANCY	99267	10801	240	1	winner	0	
27	21	2	36414	2	413	1	0	0	42	42	42	0	State Senator Dst 15	DEM - MACBETH, TONYA K.	99267	10801	240	0	candidate	0	
27	21	3	162	0	23	1	0	3	42	42	42	1	State Senator Dst 15	Write-In Candidate	99267	10801	240	0	candidate	0	
28	22	1	52832	1	414	2	0	0	42	42	42	0	State Rep Dst 15 (vote for 2)	REP - ALLEN, JOHN	150768	69652	196	1	winner	0	
28	22	2	60779	1	415	2	0	0	42	42	42	0	State Rep Dst 15 (vote for 2)	REP - CARTER, HEATHER	150768	69652	196	1	winner	0	
28	22	3	36729	2	416	2	0	0	42	42	42	0	State Rep Dst 15 (vote for 2)	DEM - DWYER, BRANDON	150768	69652	196	0	candidate	0	
28	22	4	428	0	24	2	0	3	42	42	42	1	State Rep Dst 15 (vote for 2)	Write-In Candidate	150768	69652	196	0	candidate	0	
29	23	1	35102	1	417	1	0	0	19	19	19	0	State Senator Dst 16	REP - FARNSWORTH, DAVID CHRISTIAN	54442	5188	173	1	winner	0	
29	23	2	19249	2	418	1	0	0	19	19	19	0	State Senator Dst 16	DEM - PRIOR, SCOTT	54442	5188	173	0	candidate	0	
29	23	3	91	0	26	1	0	3	19	19	19	1	State Senator Dst 16	Write-In Candidate	54442	5188	173	0	candidate	0	
30	24	1	31907	1	419	2	0	0	19	19	19	0	State Rep Dst 16 (vote for 2)	REP - COLEMAN, DOUG	97430	21896	280	1	winner	0	
30	24	2	32586	1	420	2	0	0	19	19	19	0	State Rep Dst 16 (vote for 2)	REP - TOWNSEND, KELLY	97430	21896	280	1	winner	0	
30	24	3	16123	2	421	2	0	0	19	19	19	0	State Rep Dst 16 (vote for 2)	DEM - PRIOR, CARA	97430	21896	280	0	candidate	0	
30	24	4	16696	2	422	2	0	0	19	19	19	0	State Rep Dst 16 (vote for 2)	DEM - STINARD, SHARON	97430	21896	280	0	candidate	0	
30	24	5	118	0	27	2	0	3	19	19	19	1	State Rep Dst 16 (vote for 2)	Write-In Candidate	97430	21896	280	0	candidate	0	
31	25	1	54454	1	423	1	0	0	39	39	39	0	State Senator Dst 17	REP - YARBROUGH, STEVE	96298	9406	274	1	winner	0	
31	25	2	41676	2	424	1	0	0	39	39	39	0	State Senator Dst 17	DEM - WEICHERT, STEVE	96298	9406	274	0	candidate	0	
31	25	3	168	0	29	1	0	3	39	39	39	1	State Senator Dst 17	Write-In Candidate	96298	9406	274	0	candidate	0	
32	26	1	48384	1	425	2	0	0	39	39	39	0	State Rep Dst 17 (vote for 2)	REP - MESNARD, J.D.	144618	67132	206	1	winner	0	
32	26	2	51712	1	426	2	0	0	39	39	39	0	State Rep Dst 17 (vote for 2)	REP - WENINGER, JEFF	144618	67132	206	1	winner	0	
32	26	3	44128	2	427	2	0	0	39	39	39	0	State Rep Dst 17 (vote for 2)	DEM - PAWLIK, JENNIFER	144618	67132	206	0	candidate	0	
32	26	4	394	0	30	2	0	3	39	39	39	1	State Rep Dst 17 (vote for 2)	Write-In Candidate	144618	67132	206	0	candidate	0	
33	27	1	50935	1	428	1	0	0	42	42	42	0	State Senator Dst 18	REP - SCHMUCK, FRANK	105067	8437	325	0	candidate	0	
33	27	2	53962	2	429	1	0	0	42	42	42	0	State Senator Dst 18	DEM - BOWIE, SEAN	105067	8437	325	1	winner	0	
33	27	3	170	0	32	1	0	3	42	42	42	1	State Senator Dst 18	Write-In Candidate	105067	8437	325	0	candidate	0	
34	28	1	50613	1	430	2	0	0	42	42	42	0	State Rep Dst 18 (vote for 2)	REP - NORGAARD, JILL	171446	55740	472	1	winner	0	
34	28	2	47569	1	431	2	0	0	42	42	42	0	State Rep Dst 18 (vote for 2)	REP - ROBSON, BOB	171446	55740	472	0	candidate	0	
34	28	3	52002	2	432	2	0	0	42	42	42	0	State Rep Dst 18 (vote for 2)	DEM - EPSTEIN, DENISE ''MITZI''	171446	55740	472	1	winner	0	
34	28	4	21039	4	433	2	0	0	42	42	42	0	State Rep Dst 18 (vote for 2)	GRN - MACIAS, LINDA	171446	55740	472	0	candidate	0	
34	28	5	223	0	33	2	0	3	42	42	42	1	State Rep Dst 18 (vote for 2)	Write-In Candidate	171446	55740	472	0	candidate	0	
35	29	1	38817	2	434	1	0	0	28	28	28	0	State Senator Dst 19	DEM - CONTRERAS, LUPE CHAVIRA	39868	13303	265	1	winner	0	
35	29	2	1051	0	35	1	0	3	28	28	28	1	State Senator Dst 19	Write-In Candidate	39868	13303	265	0	candidate	0	
36	30	1	27263	2	435	2	0	0	28	28	28	0	State Rep Dst 19 (vote for 2)	DEM - CARDENAS, MARK	59236	47452	184	1	winner	0	
36	30	2	30693	2	436	2	0	0	28	28	28	0	State Rep Dst 19 (vote for 2)	DEM - ESPINOZA, DIEGO	59236	47452	184	1	winner	0	
36	30	3	1280	0	36	2	0	3	28	28	28	1	State Rep Dst 19 (vote for 2)	Write-In Candidate	59236	47452	184	0	candidate	0	
37	31	1	40122	1	437	1	0	0	47	47	47	0	State Senator Dst 20	REP - YEE, KIMBERLY	80174	7224	502	1	winner	0	
37	31	2	28987	2	438	1	0	0	47	47	47	0	State Senator Dst 20	DEM - HERRERA, LARRY	80174	7224	502	0	candidate	0	
37	31	3	10928	6	439	1	0	0	47	47	47	0	State Senator Dst 20	IND - QUELLAND, DOUG ''Q''	80174	7224	502	0	candidate	0	
37	31	4	137	0	38	1	0	3	47	47	47	1	State Senator Dst 20	Write-In Candidate	80174	7224	502	0	candidate	0	
38	32	1	39780	1	440	2	0	0	47	47	47	0	State Rep Dst 20 (vote for 2)	REP - BOYER, PAUL	114406	61232	162	1	winner	0	
38	32	2	39118	1	441	2	0	0	47	47	47	0	State Rep Dst 20 (vote for 2)	REP - KERN, ANTHONY	114406	61232	162	1	winner	0	
38	32	3	35117	2	442	2	0	0	47	47	47	0	State Rep Dst 20 (vote for 2)	DEM - GILFILLAN, CHRISTOPHER ''CHRIS''	114406	61232	162	0	candidate	0	
38	32	4	391	0	39	2	0	3	47	47	47	1	State Rep Dst 20 (vote for 2)	Write-In Candidate	114406	61232	162	0	candidate	0	
39	33	1	64404	1	443	1	0	0	42	42	42	0	State Senator Dst 21	REP - LESKO, DEBBIE	66150	26484	84	1	winner	0	
39	33	2	1746	0	41	1	0	3	42	42	42	1	State Senator Dst 21	Write-In Candidate	66150	26484	84	0	candidate	0	
40	34	1	45639	1	444	2	0	0	42	42	42	0	State Rep Dst 21 (vote for 2)	REP - PAYNE, KEVIN	124333	60887	216	1	winner	0	
40	34	2	44060	1	445	2	0	0	42	42	42	0	State Rep Dst 21 (vote for 2)	REP - RIVERO, TONY	124333	60887	216	1	winner	0	
40	34	3	34180	2	446	2	0	0	42	42	42	0	State Rep Dst 21 (vote for 2)	DEM - RASMUSSEN-LACOTTA, DEANNA	124333	60887	216	0	candidate	0	
40	34	4	454	0	42	2	0	3	42	42	42	1	State Rep Dst 21 (vote for 2)	Write-In Candidate	124333	60887	216	0	candidate	0	
41	35	1	71863	1	447	1	0	0	48	48	48	0	State Senator Dst 22	REP - BURGES, JUDY	110662	10623	309	1	winner	0	
41	35	2	38620	2	448	1	0	0	48	48	48	0	State Senator Dst 22	DEM - MUSCATO, MICHAEL	110662	10623	309	0	candidate	0	
41	35	3	179	0	44	1	0	3	48	48	48	1	State Senator Dst 22	Write-In Candidate	110662	10623	309	0	candidate	0	
42	36	1	69251	1	449	2	0	0	48	48	48	0	State Rep Dst 22 (vote for 2)	REP - LIVINGSTON, DAVID	171896	71026	266	1	winner	0	
42	36	2	64347	1	450	2	0	0	48	48	48	0	State Rep Dst 22 (vote for 2)	REP - LOVAS, PHIL	171896	71026	266	1	winner	0	
42	36	3	37938	2	451	2	0	0	48	48	48	0	State Rep Dst 22 (vote for 2)	DEM - HERNANDEZ, MANUEL	171896	71026	266	0	candidate	0	
42	36	4	360	0	45	2	0	3	48	48	48	1	State Rep Dst 22 (vote for 2)	Write-In Candidate	171896	71026	266	0	candidate	0	
43	37	1	88099	1	452	1	0	0	57	57	57	0	State Senator Dst 23	REP - KAVANAGH, JOHN	90148	41313	77	1	winner	0	
43	37	2	2049	0	47	1	0	3	57	57	57	1	State Senator Dst 23	Write-In Candidate	90148	41313	77	0	candidate	0	
44	38	1	64903	1	453	2	0	0	57	57	57	0	State Rep Dst 23 (vote for 2)	REP - LAWRENCE, JAY	181350	81388	338	1	winner	0	
44	38	2	69758	1	454	2	0	0	57	57	57	0	State Rep Dst 23 (vote for 2)	REP - UGENTI-RITA, MICHELLE	181350	81388	338	1	winner	0	
44	38	3	46255	2	455	2	0	0	57	57	57	0	State Rep Dst 23 (vote for 2)	DEM - CAPUTI, TAMMY	181350	81388	338	0	candidate	0	
44	38	4	434	0	48	2	0	3	57	57	57	1	State Rep Dst 23 (vote for 2)	Write-In Candidate	181350	81388	338	0	candidate	0	
45	39	1	54351	2	456	1	0	0	40	40	40	0	State Senator Dst 24	DEM - HOBBS, KATIE	55553	20368	132	1	winner	0	
45	39	2	1202	0	50	1	0	3	40	40	40	1	State Senator Dst 24	Write-In Candidate	55553	20368	132	0	candidate	0	
46	40	1	43160	2	457	2	0	0	40	40	40	0	State Rep Dst 24 (vote for 2)	DEM - ALSTON, LELA	86345	65601	160	1	winner	0	
46	40	2	41927	2	458	2	0	0	40	40	40	0	State Rep Dst 24 (vote for 2)	DEM - CLARK, KEN	86345	65601	160	1	winner	0	
46	40	3	1258	0	51	2	0	3	40	40	40	1	State Rep Dst 24 (vote for 2)	Write-In Candidate	86345	65601	160	0	candidate	0	
47	41	1	69914	1	459	1	0	0	37	37	37	0	State Senator Dst 25	REP - WORSLEY, BOB	71503	26888	75	1	winner	0	
47	41	2	1589	0	53	1	0	3	37	37	37	1	State Senator Dst 25	Write-In Candidate	71503	26888	75	0	candidate	0	
48	42	1	51160	1	460	2	0	0	37	37	37	0	State Rep Dst 25 (vote for 2)	REP - BOWERS, RUSSELL W. ''RUSTY''	139777	56925	230	1	winner	0	
48	42	2	55941	1	461	2	0	0	37	37	37	0	State Rep Dst 25 (vote for 2)	REP - UDALL, MICHELLE	139777	56925	230	1	winner	0	
48	42	3	32225	2	462	2	0	0	37	37	37	0	State Rep Dst 25 (vote for 2)	DEM - RAHN, KATHLEEN	139777	56925	230	0	candidate	0	
48	42	4	451	0	54	2	0	3	37	37	37	1	State Rep Dst 25 (vote for 2)	Write-In Candidate	139777	56925	230	0	candidate	0	
49	43	1	40995	2	463	1	0	0	34	34	34	0	State Senator Dst 26	DEM - MENDEZ, JUAN JOSE	42438	17701	109	1	winner	0	
49	43	2	1443	0	56	1	0	3	34	34	34	1	State Senator Dst 26	Write-In Candidate	42438	17701	109	0	candidate	0	
50	44	1	19469	1	464	2	0	0	34	34	34	0	State Rep Dst 26 (vote for 2)	REP - ADKINS, STEVEN	84742	35388	366	0	candidate	0	
50	44	2	26981	2	465	2	0	0	34	34	34	0	State Rep Dst 26 (vote for 2)	DEM - BLANC, ISELA	84742	35388	366	1	winner	0	
50	44	3	28038	2	466	2	0	0	34	34	34	0	State Rep Dst 26 (vote for 2)	DEM - SALMAN, ATHENA	84742	35388	366	1	winner	0	
50	44	4	9941	4	467	2	0	0	34	34	34	0	State Rep Dst 26 (vote for 2)	GRN - TRUJILLO, CARA NICOLE	84742	35388	366	0	candidate	0	
50	44	5	313	0	57	2	0	3	34	34	34	1	State Rep Dst 26 (vote for 2)	Write-In Candidate	84742	35388	366	0	candidate	0	
51	45	1	40085	2	468	1	0	0	35	35	35	0	State Senator Dst 27	DEM - MIRANDA, CATHERINE	49794	7097	326	1	winner	0	
51	45	2	9381	4	469	1	0	0	35	35	35	0	State Senator Dst 27	GRN - TORRES, ANGEL	49794	7097	326	0	candidate	0	
51	45	3	328	0	59	1	0	3	35	35	35	1	State Senator Dst 27	Write-In Candidate	49794	7097	326	0	candidate	0	
52	46	1	27559	2	470	2	0	0	35	35	35	0	State Rep Dst 27 (vote for 2)	DEM - BOLDING, REGINALD	66096	48160	178	1	winner	0	
52	46	2	37701	2	471	2	0	0	35	35	35	0	State Rep Dst 27 (vote for 2)	DEM - RIOS, REBECCA	66096	48160	178	1	winner	0	
52	46	3	836	0	60	2	0	3	35	35	35	1	State Rep Dst 27 (vote for 2)	Write-In Candidate	66096	48160	178	0	candidate	0	
53	47	1	50436	1	472	1	0	0	57	57	57	0	State Senator Dst 28	REP - BROPHY MCGEE, KATE	98728	6656	314	1	winner	0	
53	47	2	48124	2	473	1	0	0	57	57	57	0	State Senator Dst 28	DEM - MEYER, ERIC	98728	6656	314	0	candidate	0	
53	47	3	168	0	62	1	0	3	57	57	57	1	State Senator Dst 28	Write-In Candidate	98728	6656	314	0	candidate	0	
54	48	1	44355	1	474	2	0	0	57	57	57	0	State Rep Dst 28 (vote for 2)	REP - HAMWAY, MARY	140665	70527	204	0	candidate	0	
54	48	2	46739	1	475	2	0	0	57	57	57	0	State Rep Dst 28 (vote for 2)	REP - SYMS, MARIA	140665	70527	204	1	winner	0	
54	48	3	49139	2	476	2	0	0	57	57	57	0	State Rep Dst 28 (vote for 2)	DEM - BUTLER, KELLI	140665	70527	204	1	winner	0	
54	48	4	432	0	63	2	0	3	57	57	57	1	State Rep Dst 28 (vote for 2)	Write-In Candidate	140665	70527	204	0	candidate	0	
55	49	1	13615	1	477	1	0	0	33	33	33	0	State Senator Dst 29	REP - NUTTLE, CRYSTAL	43380	3849	314	0	candidate	0	
55	49	2	29638	2	478	1	0	0	33	33	33	0	State Senator Dst 29	DEM - QUEZADA, MARTÍN	43380	3849	314	1	winner	0	
55	49	3	127	0	65	1	0	3	33	33	33	1	State Senator Dst 29	Write-In Candidate	43380	3849	314	0	candidate	0	
56	50	1	13920	1	479	2	0	0	33	33	33	0	State Rep Dst 29 (vote for 2)	REP - WILSON, JOHN	61194	33578	314	0	candidate	0	
56	50	2	21257	2	480	2	0	0	33	33	33	0	State Rep Dst 29 (vote for 2)	DEM - ANDRADE, RICHARD C.	61194	33578	314	1	winner	0	
56	50	3	25564	2	481	2	0	0	33	33	33	0	State Rep Dst 29 (vote for 2)	DEM - CHAVEZ, CESAR	61194	33578	314	1	winner	0	
56	50	4	453	0	66	2	0	3	33	33	33	1	State Rep Dst 29 (vote for 2)	Write-In Candidate	61194	33578	314	0	candidate	0	
57	51	1	14152	1	482	1	0	0	29	29	29	0	State Senator Dst 30	REP - LYON, JOHN	42221	3996	278	0	candidate	0	
57	51	2	27941	2	483	1	0	0	29	29	29	0	State Senator Dst 30	DEM - MEZA, ROBERT	42221	3996	278	1	winner	0	
57	51	3	128	0	68	1	0	3	29	29	29	1	State Senator Dst 30	Write-In Candidate	42221	3996	278	0	candidate	0	
58	52	1	14831	1	484	2	0	0	29	29	29	0	State Rep Dst 30 (vote for 2)	REP - COX, GARY LEON	60755	31939	296	0	candidate	0	
58	52	2	22853	2	485	2	0	0	29	29	29	0	State Rep Dst 30 (vote for 2)	DEM - MARTINEZ, RAY	60755	31939	296	1	winner	0	
58	52	3	22810	2	486	2	0	0	29	29	29	0	State Rep Dst 30 (vote for 2)	DEM - NAVARRETE, OTONIEL ''TONY''	60755	31939	296	1	winner	0	
58	52	4	261	0	69	2	0	3	29	29	29	1	State Rep Dst 30 (vote for 2)	Write-In Candidate	60755	31939	296	0	candidate	0	
59	53	1	732085	1	487	3	0	0	724	724	724	0	Corporation Commissioner (vote for 3)	REP - BURNS, ROBERT ''BOB''	3267646	1501739	48624	1	winner	0	
59	53	2	646517	1	488	3	0	0	724	724	724	0	Corporation Commissioner (vote for 3)	REP - DUNN, BOYD	3267646	1501739	48624	1	winner	0	
59	53	3	674209	1	489	3	0	0	724	724	724	0	Corporation Commissioner (vote for 3)	REP - TOBIN, ANDY	3267646	1501739	48624	1	winner	0	
59	53	4	584571	2	490	3	0	0	724	724	724	0	Corporation Commissioner (vote for 3)	DEM - CHABIN, TOM	3267646	1501739	48624	0	candidate	0	
59	53	5	618157	2	491	3	0	0	724	724	724	0	Corporation Commissioner (vote for 3)	DEM - MUNDELL, WILLIAM ''BILL''	3267646	1501739	48624	0	candidate	0	
59	53	6	12107	0	71	3	0	3	724	724	724	1	Corporation Commissioner (vote for 3)	Write-In Candidate	3267646	1501739	48624	0	candidate	0	
60	54	1	160724	1	492	1	0	0	133	133	133	0	Board of Supervisors 1	REP - BARNEY, DENNY	300231	58221	384	1	winner	0	
60	54	2	138822	2	493	1	0	0	133	133	133	0	Board of Supervisors 1	DEM - CERRA, MATTHEW	300231	58221	384	0	candidate	0	
60	54	3	685	0	74	1	0	3	133	133	133	1	Board of Supervisors 1	Write-In Candidate	300231	58221	384	0	candidate	0	
61	55	1	237685	1	494	1	0	0	151	151	151	0	Board of Supervisors 2	REP - CHUCRI, STEVE	241003	128166	169	1	winner	0	
61	55	2	3318	0	75	1	0	3	151	151	151	1	Board of Supervisors 2	Write-In Candidate	241003	128166	169	0	candidate	0	
62	56	1	203380	1	495	1	0	0	155	155	155	0	Board of Supervisors 3	REP - GATES, BILL	207677	115776	213	1	winner	0	
62	56	2	4297	0	76	1	0	3	155	155	155	1	Board of Supervisors 3	Write-In Candidate	207677	115776	213	0	candidate	0	
63	57	1	241382	1	496	1	0	0	162	162	162	0	Board of Supervisors 4	REP - HICKMAN, CLINT L.	245915	116079	208	1	winner	0	
63	57	2	4533	0	77	1	0	3	162	162	162	1	Board of Supervisors 4	Write-In Candidate	245915	116079	208	0	candidate	0	
64	58	1	141018	2	497	1	0	0	123	123	123	0	Board of Supervisors 5	DEM - GALLARDO, STEVE	143576	47799	586	1	winner	0	
64	58	2	2558	0	78	1	0	3	123	123	123	1	Board of Supervisors 5	Write-In Candidate	143576	47799	586	0	candidate	0	
65	59	1	1005093	1	498	1	0	0	724	724	724	0	County Assessor	REP - PETERSEN, PAUL D.	1022321	582387	1295	1	winner	0	
65	59	2	17228	0	79	1	0	3	724	724	724	1	County Assessor	Write-In Candidate	1022321	582387	1295	0	candidate	0	
66	60	1	748186	1	499	1	0	0	724	724	724	0	County Attorney	REP - MONTGOMERY, BILL	1422472	176612	6919	1	winner	0	
66	60	2	671618	2	500	1	0	0	724	724	724	0	County Attorney	DEM - RODRIGUEZ, DIEGO	1422472	176612	6919	0	candidate	0	
66	60	3	2668	0	80	1	0	3	724	724	724	1	County Attorney	Write-In Candidate	1422472	176612	6919	0	candidate	0	
